,t,k=0,k=1,k=2,k=3,k=4
0,0.0,5.0,5.0,5.0,5.0,5.0
1,0.01,5.143318460348007,5.143318460348007,5.143318460348007,5.143318460348007,5.143318460348007
2,0.02,5.344004945160183,5.344004945160183,5.344004945160183,5.344004945160183,5.344004945160183
3,0.03,5.61072607981274,5.61072607981274,5.61072607981274,5.61072607981274,5.61072607981274
4,0.04,5.955391290171187,5.955391290171187,5.955391290171187,5.955391290171187,5.955391290171187
5,0.05,6.3930622095563905,6.3930622095563905,6.3930622095563905,6.3930622095563905,6.3930622095563905
6,0.06,6.941948507805563,6.941948507805563,6.941948507805563,6.941948507805563,6.941948507805563
7,0.07,7.623384616856935,7.623384616856935,7.623384616856935,7.623384616856935,7.623384616856935
8,0.08,8.461668078814359,8.461668078814359,8.461668078814359,8.461668078814359,8.461668078814359
9,0.09,9.483613923804626,9.483613923804626,9.483613923804626,9.483613923804626,9.483613923804626
10,0.1,10.717645497225316,10.717645497225316,10.717645497225316,10.717645497225316,10.717645497225316
11,0.11,12.192210127444756,12.192210127444756,12.192210127444756,12.192210127444756,12.192210127444756
12,0.12,13.93329562058348,13.93329562058348,13.93329562058348,13.93329562058348,13.93329562058348
13,0.13,15.960859450891114,15.960859450891114,15.960859450891114,15.960859450891114,15.960859450891114
14,0.14,18.28410636915519,18.28410636915519,18.28410636915519,18.28410636915519,18.28410636915519
15,0.15,20.89580502408981,20.89580502408981,20.89580502408981,20.89580502408981,20.89580502408981
16,0.16,23.76624498509071,23.76624498509071,23.76624498509071,23.76624498509071,23.76624498509071
17,0.17,26.837970331505467,26.837970331505467,26.837970331505467,26.837970331505467,26.837970331505467
18,0.18,30.02294877197215,30.02294877197215,30.02294877197215,30.02294877197215,30.02294877197215
19,0.19,33.204082333683274,33.204082333683274,33.204082333683274,33.204082333683274,33.204082333683274
20,0.2,36.242599745707196,36.242599745707196,36.242599745707196,36.242599745707196,36.242599745707196
21,0.21,38.991656430699216,38.991656430699216,38.991656430699216,38.991656430699216,38.991656430699216
22,0.22,41.314529034554866,41.314529034554866,41.314529034554866,41.314529034554866,41.314529034554866
23,0.23,43.10377210183308,43.10377210183308,43.10377210183308,43.10377210183308,43.10377210183308
24,0.24,44.29660189615391,44.29660189615391,44.29660189615391,44.29660189615391,44.29660189615391
25,0.25,44.882382739990874,44.882382739990874,44.882382739990874,44.882382739990874,44.882382739990874
26,0.26,44.900395777082764,44.900395777082764,44.900395777082764,44.900395777082764,44.900395777082764
27,0.27,44.429092176900824,44.429092176900824,44.429092176900824,44.429092176900824,44.429092176900824
28,0.28,43.57039164597486,43.57039164597486,43.57039164597486,43.57039164597486,43.57039164597486
29,0.29,42.433351445390095,42.433351445390095,42.433351445390095,42.433351445390095,42.433351445390095
30,0.3,41.12069939275658,41.12069939275658,41.12069939275658,41.12069939275658,41.12069939275658
31,0.31,39.72002905501789,39.72002905501789,39.72002905501789,39.72002905501789,39.72002905501789
32,0.32,38.29977962317075,38.29977962317075,38.29977962317075,38.29977962317075,38.29977962317075
33,0.33,36.90902484584433,36.90902484584433,36.90902484584433,36.90902484584433,36.90902484584433
34,0.34,35.57968758349204,35.57968758349204,35.57968758349204,35.57968758349204,35.57968758349204
35,0.35000000000000003,34.329896967241815,34.329896967241815,34.329896967241815,34.329896967241815,34.329896967241815
36,0.36,33.16754991668588,33.16754991668588,33.16754991668588,33.16754991668588,33.16754991668588
37,0.37,32.09352039665542,32.09352039665542,32.09352039665542,32.09352039665542,32.09352039665542
