,t,k=0,k=1
0,0.0,5.0,5.0
1,0.01,5.143318460348007,5.143318460348007
2,0.02,5.344004945160183,5.344004945160183
3,0.03,5.61072607981274,5.61072607981274
4,0.04,5.955391290171187,5.955391290171187
5,0.05,6.3930622095563905,6.3930622095563905
6,0.06,6.941948507805563,6.941948507805563
7,0.07,7.623384616856935,7.623384616856935
8,0.08,8.461668078814359,8.461668078814359
9,0.09,9.483613923804626,9.483613923804626
10,0.1,10.717645497225316,10.717645497225316
11,0.11,12.192210127444756,12.192210127444756
12,0.12,13.93329562058348,13.93329562058348
13,0.13,15.960859450891114,15.960859450891114
14,0.14,18.28410636915519,18.28410636915519
15,0.15,20.89580502408981,20.89580502408981
16,0.16,23.76624498509071,23.76624498509071
17,0.17,26.837970331505467,26.837970331505467
18,0.18,30.02294877197215,30.02294877197215
19,0.19,33.204082333683274,33.204082333683274
20,0.2,36.242599745707196,36.242599745707196
21,0.21,38.991656430699216,38.991656430699216
22,0.22,41.314529034554866,41.314529034554866
23,0.23,43.10377210183308,43.10377210183308
24,0.24,44.29660189615391,44.29660189615391
25,0.25,44.882382739990874,44.882382739990874
26,0.26,44.900395777082764,44.900395777082764
27,0.27,44.429092176900824,44.429092176900824
28,0.28,43.57039164597486,43.57039164597486
29,0.29,42.433351445390095,42.433351445390095
30,0.3,41.12069939275658,41.12069939275658
31,0.31,39.72002905501789,39.72002905501789
32,0.32,38.29977962317075,38.29977962317075
33,0.33,36.90902484584433,36.90902484584433
34,0.34,35.57968758349204,35.57968758349204
35,0.35000000000000003,34.329896967241815,34.329896967241815
36,0.36,33.16754991668588,33.16754991668588
37,0.37,32.09352039665542,32.09352039665542
38,0.38,31.104267973712158,31.104267973712158
39,0.39,30.193800462829152,30.193800462829152
40,0.4,29.355055884666612,29.355055884666612
41,0.41000000000000003,28.580813887665876,28.580813887665876
42,0.42,27.86425273133068,27.86425273133068
43,0.43,27.199254568057036,27.199254568057036
44,0.44,26.580541472535348,26.580541472535348
45,0.45,26.003704150977363,26.003704150977363
46,0.46,25.465167525137907,25.465167525137907
47,0.47000000000000003,24.96212333154802,24.96212333154802
48,0.48,24.492449363560468,24.492449363560468
49,0.49,24.054627451051367,24.054627451051367
50,0.5,23.647667064171795,23.647667064171795
51,0.51,23.27103794207797,23.27103794207797
52,0.52,22.924612890346815,22.924612890346815
53,0.53,22.60862047914755,22.60862047914755
54,0.54,22.323606523902896,22.323606523902896
55,0.55,22.070402736106775,22.070402736106775
56,0.56,21.850100650091118,21.850100650091118
57,0.5700000000000001,21.66402876352986,21.66402876352986
58,0.58,21.51373071117468,21.51373071117468
59,0.59,21.400942184500177,21.400942184500177
60,0.6,21.32756419691632,21.32756419691632
61,0.61,21.295630174838728,21.295630174838728
62,0.62,21.307264245404667,21.307264245404667
63,0.63,21.36462802467081,21.36462802467081
64,0.64,21.469853235645665,21.469853235645665
65,0.65,21.6249576711615,21.6249576711615
66,0.66,21.831742446871786,21.831742446871786
67,0.67,22.09166926195247,22.09166926195247
68,0.68,22.40571760077768,22.40571760077768
69,0.6900000000000001,22.774223557476944,22.774223557476944
70,0.7000000000000001,23.19670430013611,23.19670430013611
71,0.71,23.6716750962121,23.6716750962121
72,0.72,24.196469169947427,24.196469169947427
73,0.73,24.76707418163376,24.76707418163376
74,0.74,25.378002355878493,25.378002355878493
75,0.75,26.022213613342004,26.022213613342004
76,0.76,26.69111172094155,26.69111172094155
77,0.77,27.374631695227432,27.374631695227432
78,0.78,28.06143185859617,28.06143185859617
79,0.79,28.739195827285357,28.739195827285357
80,0.8,29.395038673983155,29.395038673983155
81,0.81,30.015998665054955,30.015998665054955
82,0.8200000000000001,30.58958314269024,30.58958314269024
83,0.8300000000000001,31.10432658847142,31.10432658847142
84,0.84,31.55031295097898,31.55031295097898
85,0.85,31.919614650623625,31.919614650623625
86,0.86,32.20660788421753,32.20660788421753
87,0.87,32.40813713325167,32.40813713325167
88,0.88,32.523519008895995,32.523519008895995
89,0.89,32.55439376706503,32.55439376706503
90,0.9,32.50444888738154,32.50444888738154
91,0.91,32.379050524686605,32.379050524686605
92,0.92,32.18482404177659,32.18482404177659
93,0.93,31.92922416380564,31.92922416380564
94,0.9400000000000001,31.620129637729338,31.620129637729338
95,0.9500000000000001,31.26548841362947,31.26548841362947
96,0.96,30.873029254548356,30.873029254548356
97,0.97,30.45004604279287,30.45004604279287
98,0.98,30.00325308154383,30.00325308154383
99,0.99,29.538703993787234,29.538703993787234
100,1.0,29.061763474502218,29.061763474502218
101,1.01,28.57711986458504,28.57711986458504
102,1.02,28.08882679646153,28.08882679646153
103,1.03,27.600363472169967,27.600363472169967
104,1.04,27.114704986952916,27.114704986952916
105,1.05,26.63439612225469,26.63439612225469
106,1.06,26.161623938588907,26.161623938588907
107,1.07,25.698286147713,25.698286147713
108,1.08,25.246053568255622,25.246053568255622
109,1.09,24.806425963155046,24.806425963155046
110,1.1,24.380781251406404,24.380781251406404
111,1.11,23.970418529045038,23.970418529045038
112,1.12,23.576595578183728,23.576595578183728
113,1.1300000000000001,23.200561638089525,23.200561638089525
114,1.1400000000000001,22.843586200881603,22.843586200881603
115,1.1500000000000001,22.50698450931286,22.50698450931286
116,1.16,22.192140298893104,22.192140298893104
117,1.17,21.90052615671806,21.90052615671806
118,1.18,21.63372167338392,21.63372167338392
119,1.19,21.393429345657385,21.393429345657385
120,1.2,21.181487945841155,21.181487945841155
121,1.21,20.999882806627845,20.999882806627845
122,1.22,20.850752174785015,20.850752174785015
123,1.23,20.73638846167246,20.73638846167246
124,1.24,20.65923286517463,20.65923286517463
125,1.25,20.621861463930376,20.621861463930376
126,1.26,20.626960507679247,20.626960507679247
127,1.27,20.677288276899848,20.677288276899848
128,1.28,20.775620607471623,20.775620607471623
129,1.29,20.92467703968986,20.92467703968986
130,1.3,21.127024647551707,21.127024647551707
131,1.31,21.38495705032506,21.38495705032506
